YEAR,CAUSE_NAME,region,DEATHS,AADR
2011,Cancer,Minnesota,9489,160.77
2011,Cancer,Mississippi,6278,197.43
2011,Cancer,Missouri,12473,179.36
2011,Cancer,Montana,2022,164.81
2011,Cancer,Nebraska,3410,164.09
2011,Cancer,Nevada,4606,170.18
2011,Cancer,New Hampshire,2740,177.54
2011,Cancer,New Jersey,16708,166.04
2011,Cancer,New Mexico,3328,146.86
2011,Cancer,New York,35469,160.59
2011,Cancer,North Carolina,18284,175.04
2011,Cancer,North Dakota,1321,161.04
2011,Cancer,Ohio,25140,184.92
2011,Cancer,Oklahoma,7997,191.05
2011,Cancer,Oregon,7802,172.58
2011,Cancer,Pennsylvania,28895,177.96
2011,Cancer,Rhode Island,2170,167.64
2011,Cancer,South Carolina,9543,181.95
2011,Cancer,South Dakota,1665,169.68
2011,Cancer,Tennessee,13562,189
2011,Cancer,Texas,37351,162.26
2011,Cancer,Utah,2746,125.7
2011,Cancer,Vermont,1347,175.88
2011,Cancer,Virginia,14376,170.78
2011,Cancer,Washington,12002,166.09
2011,Cancer,West Virginia,4782,200.13
2011,Cancer,Wisconsin,11608,175.48
2011,Cancer,Wyoming,936,155.97
2012,Cancer,Alabama,10276,185.19
2012,Cancer,Alaska,925,166.45
2012,Cancer,Arizona,11085,148.64
2012,Cancer,Arkansas,6540,189.05
2012,Cancer,California,57676,150.85
2012,Cancer,Colorado,7306,143.09
2012,Cancer,Connecticut,6681,151.95
2012,Cancer,Delaware,1935,177.02
2012,Cancer,District of Columbia,1081,178.8
2012,Cancer,Florida,42188,158.75
2012,Cancer,Georgia,16021,169.06
2012,Cancer,Hawaii,2284,134.54
2012,Cancer,Idaho,2572,151.99
2012,Cancer,Illinois,24562,175.63
